,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
01-2013,43.2,23.9,18.7,35.9,31.9,25.4,68.2,35.3,30.6,44.7,45.1,63.1,50.9,31.5,36.7,39.8,49.3,34.5,29.0,61.8,51.4,38.4,28.5,55.2,28.6,29.6,44.7,38.6,52.6,47.9,42.0,59.6
04-2013,42.1,22.9,20.2,36.2,28.5,26.2,69.6,33.1,32.9,46.0,47.2,65.0,47.9,30.6,38.0,43.4,46.4,36.6,25.7,63.0,55.7,41.3,26.7,53.2,30.1,26.9,43.9,38.3,54.6,48.9,43.6,56.9
07-2013,42.1,24.5,21.3,36.5,29.1,28.0,68.6,32.6,33.2,46.7,42.7,63.3,49.1,32.1,38.8,47.8,48.9,38.0,29.3,63.2,54.7,41.4,28.1,52.8,32.4,29.9,42.7,40.1,52.2,51.8,40.6,55.7
11-2013,39.2,23.0,20.3,37.3,29.8,25.4,70.3,32.3,31.5,47.1,43.3,65.1,48.9,32.8,37.4,48.4,50.3,35.5,28.4,67.8,53.3,40.9,29.9,51.5,30.2,29.7,42.2,40.1,54.1,50.5,42.1,56.4
01-2014,41.2,26.1,22.5,40.1,32.1,25.7,69.6,34.9,32.7,46.6,43.8,61.5,48.9,32.1,38.3,45.2,50.7,34.0,29.4,63.7,54.5,38.6,30.2,53.6,29.9,27.5,41.3,40.8,54.6,51.5,43.1,58.5
04-2014,41.8,25.6,23.4,40.5,29.9,25.1,71.4,28.9,33.3,48.0,43.6,60.2,48.4,31.3,38.5,46.0,50.5,37.1,29.1,64.2,54.3,41.8,30.4,53.3,34.9,29.2,41.2,40.4,56.2,51.0,42.3,56.5
07-2014,41.5,27.9,23.7,41.2,29.1,25.2,71.7,30.3,35.2,45.8,44.4,65.8,49.0,30.4,38.8,47.9,53.6,37.6,27.9,64.0,54.9,42.6,31.1,54.0,34.8,32.0,38.2,44.7,54.3,54.0,41.5,58.7
11-2014,42.5,29.4,22.6,43.0,31.2,29.8,73.1,32.7,38.2,48.1,46.1,64.0,48.0,33.9,41.2,47.3,54.3,38.9,29.5,66.8,56.0,44.5,34.2,53.9,31.1,31.4,40.0,42.2,55.7,59.1,42.4,60.7
01-2015,41.8,26.3,22.1,40.6,32.5,29.1,71.1,32.4,35.6,47.8,44.7,62.7,47.1,33.7,39.3,46.1,50.7,38.3,30.2,64.4,54.0,38.7,33.2,55.0,27.7,31.3,39.5,42.0,52.8,54.6,41.4,60.2
04-2015,41.0,25.8,19.6,40.5,29.7,29.1,71.7,30.3,37.5,44.4,44.7,63.7,47.2,31.3,41.9,44.3,52.2,37.2,30.3,65.2,55.3,42.2,31.8,54.6,30.0,28.7,40.1,41.6,54.1,55.0,40.6,58.1
07-2015,41.3,28.8,20.0,40.2,30.7,29.6,71.2,31.0,31.9,42.2,44.5,66.6,44.6,31.7,42.5,46.0,54.0,39.2,25.7,64.4,53.0,39.7,31.4,55.7,30.5,30.4,37.9,41.3,53.2,53.4,42.0,55.2
11-2015,38.9,26.8,18.8,39.0,30.5,29.3,71.7,28.0,35.6,41.5,43.0,65.1,45.2,30.5,42.3,45.1,56.4,37.5,26.3,61.7,53.8,39.2,30.0,52.4,30.2,29.7,41.1,40.4,51.1,55.4,42.7,55.4
01-2016,39.7,26.0,19.8,39.0,30.1,29.1,69.4,29.8,34.5,39.6,39.9,63.9,46.8,29.6,41.9,44.2,53.2,36.0,27.3,64.4,52.9,36.2,28.0,53.6,29.8,32.7,41.0,39.8,51.9,56.4,43.1,57.9
04-2016,38.8,24.5,20.5,39.7,30.7,29.1,70.1,25.0,35.8,39.0,39.0,64.3,47.0,29.6,39.0,42.2,52.4,36.3,26.1,61.9,51.1,37.3,27.7,54.0,30.9,29.8,40.6,39.0,49.2,55.6,41.3,52.5
07-2016,35.5,23.5,20.2,38.7,27.6,26.7,69.2,24.4,34.3,37.3,41.1,64.1,41.3,28.7,38.3,42.5,51.4,35.5,24.0,64.7,50.1,39.7,26.4,48.5,30.8,32.0,42.0,37.3,49.5,54.4,40.0,51.3
11-2016,35.5,23.8,19.7,37.4,29.0,27.3,71.8,23.2,32.6,36.6,39.5,66.2,43.8,28.4,38.8,44.6,52.2,33.8,23.3,64.1,51.7,39.7,28.9,53.4,24.6,29.1,45.5,37.6,50.2,56.8,38.6,53.8
01-2017,35.8,24.7,17.0,39.6,26.6,26.8,69.8,23.8,31.5,37.3,36.3,60.3,53.5,23.7,36.6,40.1,49.0,33.3,23.5,64.9,51.2,38.8,28.2,50.4,26.0,29.8,44.8,39.1,48.5,53.7,39.6,55.6
04-2017,37.5,26.7,18.4,43.7,29.3,30.1,70.8,26.6,30.9,38.0,37.0,65.1,47.5,25.7,39.9,43.8,51.3,34.1,25.4,65.0,49.8,43.3,29.2,48.0,29.0,26.8,48.6,39.4,49.9,55.5,39.9,49.4
07-2017,39.0,27.2,20.2,43.2,29.9,27.9,73.0,26.9,34.4,38.1,37.7,67.3,51.6,25.8,38.9,44.9,52.2,36.7,25.2,66.4,53.3,43.7,27.4,47.1,27.7,30.8,51.7,39.8,48.6,57.9,40.1,52.6
11-2017,38.6,25.8,18.1,41.4,28.9,26.7,73.5,25.7,39.2,39.3,37.9,66.8,52.0,27.2,39.3,41.5,52.7,32.8,24.9,66.7,50.3,42.0,29.9,47.8,26.8,26.8,51.4,40.3,48.1,56.8,41.1,50.2
01-2018,37.1,23.8,19.8,42.5,28.9,27.0,70.6,26.8,32.2,40.2,32.2,65.5,49.8,25.1,37.7,40.6,54.8,31.7,25.6,65.4,49.9,34.0,29.3,49.0,24.4,28.6,49.8,39.6,48.4,53.8,40.2,53.6
