,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
07-2007,0.9599,0.6593,0.6494,0.9125,0.9856,0.8405,0.9756,0.8641,0.7237,1.1349,1.0994,1.015,1.0333,1.0971,0.9126,1.2581,0.769,1.0588,0.7149,0.9914,1.0695,0.891,0.7332,1.035,0.9367,0.8057,0.9332,0.7836,0.9566,0.9374,1.1509,0.9043
10-2007,1.0717,0.7584,0.6789,0.9364,1.0987,0.8183,0.9659,0.9525,0.7892,1.0456,1.1166,1.0289,0.9968,1.1566,0.9264,1.3156,0.8616,0.9843,0.7975,1.0232,1.1304,0.8892,0.7119,1.0743,0.9396,0.8768,0.8701,0.8767,1.0047,0.9726,1.1737,1.0031
01-2008,1.021,0.7057,0.8055,0.8941,1.1107,0.7857,0.9699,0.944,0.7538,1.1631,1.1709,1.0025,1.0243,1.105,0.9784,1.3266,0.8341,0.9911,0.8693,0.9852,1.1886,0.942,0.6796,1.0347,0.9049,0.9262,0.8869,0.7681,1.0585,0.9335,1.1558,1.1115
04-2008,1.0804,0.6747,0.7455,0.8781,1.0438,0.7729,0.9656,0.979,0.8064,1.1284,1.1796,0.9821,0.9922,1.0578,0.9711,1.2332,0.8557,0.9619,0.8686,0.9541,1.1231,0.8986,0.6218,1.0617,0.9042,0.8096,0.8609,0.8189,1.0163,0.9511,1.1148,1.0436
07-2008,1.1101,0.7802,0.7639,0.89,1.1463,0.7167,0.9707,1.028,0.836,1.1158,1.2524,1.0042,1.0517,1.234,0.9891,1.3172,0.8772,1.078,0.909,1.0269,1.1632,0.919,0.6787,1.0669,1.0362,0.9164,0.9001,0.8651,1.0747,0.9487,1.1513,1.0406
10-2008,1.1494,0.9353,0.9164,0.9583,1.1809,0.7789,1.0012,1.2169,0.8834,1.2053,1.3176,1.0695,1.0475,1.2703,1.009,1.2973,0.9506,1.0147,1.0057,1.0459,1.2444,0.9803,0.8096,1.1533,0.9961,0.9867,0.9409,0.9476,1.1059,0.9735,1.1923,1.0532
01-2009,1.3205,0.9341,0.9425,0.9119,1.2652,0.7811,0.9526,1.3567,0.9291,1.1981,1.2949,1.0161,1.054,1.2857,1.001,1.1859,0.9749,0.9599,1.1006,1.0051,1.1814,1.0623,0.7062,1.1216,1.0138,1.0375,0.8999,0.9377,1.1422,0.9439,1.1871,1.113
04-2009,1.3043,0.9933,0.9385,0.9909,1.3221,0.923,0.9711,1.4254,0.9668,1.2344,1.3518,1.0591,1.1049,1.3047,1.0389,1.309,0.9238,0.9823,1.1891,1.0676,1.2893,1.1568,0.8696,1.1171,1.0657,0.9585,0.9052,0.9835,1.1508,0.9584,1.1994,1.1239
07-2009,1.3351,1.1359,1.2326,0.9747,1.4294,0.9395,0.9811,1.3476,0.9542,1.2992,1.3565,1.0853,1.0638,1.2854,0.9982,1.3415,0.9236,1.0856,1.2356,1.0505,1.2614,1.168,0.9075,1.1252,1.172,1.1763,1.0275,1.0407,1.1857,0.9766,1.1783,1.1211
10-2009,1.2844,1.1146,1.4862,0.9214,1.335,0.9404,0.9769,1.3189,1.0375,1.3147,1.3365,1.0649,1.0745,1.3923,1.0175,1.2056,0.9442,1.07,1.1206,1.0742,1.2346,1.1155,0.9874,1.141,0.9674,0.999,0.9668,0.9845,1.1962,0.9495,1.1707,1.0797
01-2010,1.33,1.0726,1.1945,1.0003,1.4768,0.9552,0.9906,1.5188,0.9639,1.3084,1.4147,1.083,1.1057,1.3576,1.0328,1.3606,0.8998,1.1208,1.1458,1.0511,1.2305,1.08,0.9612,1.1491,0.9944,1.1763,0.9772,1.08,1.1851,0.9895,1.2152,1.1334
04-2010,1.2391,1.1443,1.1488,0.9536,1.4782,0.8714,0.989,1.2952,1.0219,1.2442,1.405,1.0782,1.0842,1.3616,0.9509,1.3181,0.8952,1.01,1.0844,1.0511,1.2109,1.0648,0.9576,1.1187,1.0057,1.0744,0.9272,1.0341,1.1656,0.9391,1.253,1.0845
07-2010,1.1865,1.0878,1.2463,0.9036,1.4197,0.9085,0.9833,1.3464,0.9901,1.3203,1.3606,1.1238,0.996,1.3087,0.9549,1.2654,0.864,1.0602,1.2293,1.0865,1.0935,1.0559,0.9667,1.0897,1.1383,1.3008,0.9889,1.0484,1.1191,1.0051,1.1589,1.0906
10-2010,1.3447,1.2806,1.2297,0.957,1.427,0.9568,1.0117,1.5951,1.097,1.2747,1.3314,1.1324,1.0461,1.3385,0.9713,1.3408,0.9487,1.0264,1.219,1.0617,1.2093,1.1738,1.0211,1.2073,1.1674,1.1792,1.0329,1.0801,1.2244,1.028,1.2029,1.1444
01-2011,1.353,1.1163,1.1981,0.8938,1.3095,0.9921,0.9465,1.5339,0.9889,1.2772,1.4164,1.053,1.0196,1.3041,0.9271,1.2695,0.9701,1.0279,1.209,1.0571,1.233,1.0093,0.9876,1.1676,1.0218,1.0791,0.9187,1.0986,1.1908,0.9617,1.189,1.1729
04-2011,1.3824,1.1126,0.9942,0.9144,1.1948,0.9714,0.9602,1.5312,1.0822,1.247,1.2922,1.0656,1.0272,1.3088,0.9255,1.2126,0.9337,1.071,1.204,1.0555,1.2112,1.0512,0.9979,1.1648,1.156,1.0395,0.9781,1.1223,1.1091,0.9638,1.1361,1.1023
07-2011,1.3668,1.1099,1.1709,0.8994,1.1468,0.881,0.9718,1.5484,0.9913,1.146,1.3094,1.1231,1.0227,1.3452,0.8932,1.2265,0.9096,1.1804,1.242,1.0552,1.2805,1.141,1.0259,1.2196,1.2427,1.2124,0.983,1.1969,1.0823,1.0026,1.1517,1.1428
